"Slovenija"
" ";"15-24"
" ";" ";"Povprečno število prenočitev"
" ";" ";" ";"2007Q2";38.72M
" ";" ";" ";"2007Q3";29.75
" ";" ";" ";"2007Q4";36.49
" ";" ";" ";"2008Q1";32.35
" ";" ";" ";"2008Q2";40.83
" ";" ";" ";"2008Q3";30.13
" ";" ";" ";"2008Q4";33.59
" ";" ";" ";"2009Q1";35.35
" ";" ";" ";"2009Q2";40.12
" ";" ";" ";"2009Q3";32.01
" ";" ";" ";"2009Q4";37.09
" ";" ";" ";"2010Q1";46.77
" ";" ";" ";"2010Q2";30.92
" ";" ";" ";"2010Q3";36.28
" ";" ";" ";"2010Q4";43.86
" ";" ";" ";"2011Q1";36.61
" ";" ";" ";"2011Q2";40.41
" ";" ";" ";"2011Q3";26.11
" ";" ";" ";"2011Q4";39.86
" ";" ";" ";"2012Q1";42.37
" ";" ";" ";"2012Q2";31.27
" ";" ";" ";"2012Q3";38.99
" ";" ";" ";"2012Q4";34.43
" ";" ";" ";"2013Q1";40.56
" ";" ";" ";"2013Q2";34.60
" ";" ";" ";"2013Q3";31.20
" ";" ";" ";"2013Q4";39.14
" ";" ";" ";"2014Q1";38.41
" ";" ";" ";"2014Q2";31.50
" ";" ";" ";"2014Q3";37.16
" ";" ";" ";"2014Q4";39.37
" ";"65 +"
" ";" ";"Povprečno število prenočitev"
" ";" ";" ";"2005Q1";4.1M
" ";" ";" ";"2005Q2";4.2M
" ";" ";" ";"2005Q3";5.8M
" ";" ";" ";"2005Q4";3.6
" ";" ";" ";"2006Q1";3.7M
" ";" ";" ";"2006Q2";4.4M
" ";" ";" ";"2006Q3";5.4M
" ";" ";" ";"2006Q4";3.8
" ";" ";" ";"2007Q1";3.6M
" ";" ";" ";"2007Q2";3.4M
" ";" ";" ";"2007Q3";4.6
" ";" ";" ";"2007Q4";3.4M
" ";" ";" ";"2008Q1";4.1M
" ";" ";" ";"2008Q2";3.0M
" ";" ";" ";"2008Q3";5.6M
" ";" ";" ";"2008Q4";3.9
" ";" ";" ";"2009Q1";3.2M
" ";" ";" ";"2009Q2";4.0M
" ";" ";" ";"2009Q3";5.7
" ";" ";" ";"2009Q4";3.3
" ";" ";" ";"2010Q1";3.0M
" ";" ";" ";"2010Q2";3.1
" ";" ";" ";"2010Q3";5.1M
" ";" ";" ";"2010Q4";4.2M
" ";" ";" ";"2011Q1";4.0M
" ";" ";" ";"2011Q2";3.5M
" ";" ";" ";"2011Q3";4.0
" ";" ";" ";"2011Q4";3.5M
" ";" ";" ";"2012Q1";4.1M
" ";" ";" ";"2012Q2";3.8M
" ";" ";" ";"2012Q3";4.9M
" ";" ";" ";"2012Q4";3.6
" ";" ";" ";"2013Q1";4.9M
" ";" ";" ";"2013Q2";3.7M
" ";" ";" ";"2013Q3";3.8M
" ";" ";" ";"2013Q4";3.0M
" ";" ";" ";"2014Q1";3.1M
" ";" ";" ";"2014Q2";2.7M
" ";" ";" ";"2014Q3";3.2M
" ";" ";" ";"2014Q4";4.0M
" ";" ";"Povprečni izdatki na turista na prenočitev (EUR)"
" ";" ";" ";"2005Q1";20.69M
" ";" ";" ";"2005Q2";25.52M
" ";" ";" ";"2005Q3";17.64M
" ";" ";" ";"2005Q4";21.29
" ";" ";" ";"2006Q1";27.98M
" ";" ";" ";"2006Q2";27.01M
" ";" ";" ";"2006Q3";17.62M
" ";" ";" ";"2006Q4";23.89
" ";" ";" ";"2007Q1";31.56M
" ";" ";" ";"2007Q2";18.78M
" ";" ";" ";"2007Q3";22.85
" ";" ";" ";"2007Q4";26.69M
" ";" ";" ";"2008Q1";25.38M
" ";" ";" ";"2008Q2";26.45M
" ";" ";" ";"2008Q3";22.62M
" ";" ";" ";"2008Q4";35.17
" ";" ";" ";"2009Q1";32.35M
" ";" ";" ";"2009Q2";34.12M
" ";" ";" ";"2009Q3";30.07
" ";" ";" ";"2009Q4";35.47
" ";" ";" ";"2010Q1";32.74M
" ";" ";" ";"2010Q2";27.11
" ";" ";" ";"2010Q3";32.53M
" ";" ";" ";"2010Q4";37.24M
" ";" ";" ";"2011Q1";35.34M
" ";" ";" ";"2011Q2";35.03M
" ";" ";" ";"2011Q3";32.05
" ";" ";" ";"2011Q4";27.80M
" ";" ";" ";"2012Q1";35.29M
" ";" ";" ";"2012Q2";33.93M
" ";" ";" ";"2012Q3";23.68
" ";" ";" ";"2012Q4";37.86
" ";" ";" ";"2013Q1";53.82M
" ";" ";" ";"2013Q2";34.66M
" ";" ";" ";"2013Q3";27.47
" ";" ";" ";"2013Q4";36.60
" ";" ";" ";"2014Q1";36.83M
" ";" ";" ";"2014Q2";33.33M
" ";" ";" ";"2014Q3";30.93M
" ";" ";" ";"2014Q4";32.54
"Tujina"
" ";"15-24"
" ";" ";"Povprečno število prenočitev"
" ";" ";" ";"2005Q1";4.2M
" ";" ";" ";"2005Q2";2.7
" ";" ";" ";"2005Q3";7.4
" ";" ";" ";"2005Q4";4.0
" ";" ";" ";"2006Q1";3.1M
" ";" ";" ";"2006Q2";3.2M
" ";" ";" ";"2006Q3";6.3
" ";" ";" ";"2006Q4";4.5
" ";" ";" ";"2007Q1";4.4M
" ";" ";" ";"2007Q2";3.5
" ";" ";" ";"2007Q3";7.4
" ";" ";" ";"2007Q4";3.8
" ";" ";" ";"2008Q1";4.6
" ";" ";" ";"2008Q2";4.3M
" ";" ";" ";"2008Q3";7.3
" ";" ";" ";"2008Q4";3.7
" ";" ";" ";"2009Q1";9.5M
" ";" ";" ";"2009Q2";4.3
" ";" ";" ";"2009Q3";6.7
" ";" ";" ";"2009Q4";3.5
" ";" ";" ";"2010Q1";2.4
" ";" ";" ";"2010Q2";3.7
" ";" ";" ";"2010Q3";9.1
" ";" ";" ";"2010Q4";4.1
" ";" ";" ";"2011Q1";3.6M
" ";" ";" ";"2011Q2";3.2
" ";" ";" ";"2011Q3";7.2
" ";" ";" ";"2011Q4";4.2
" ";" ";" ";"2012Q1";N
" ";" ";" ";"2012Q2";3.1M
" ";" ";" ";"2012Q3";6.9
" ";" ";" ";"2012Q4";3.7M
" ";" ";" ";"2013Q1";3.1M
" ";" ";" ";"2013Q2";3.3M
" ";" ";" ";"2013Q3";5.9
" ";" ";" ";"2013Q4";4.3M
" ";" ";" ";"2014Q1";4.1M
" ";" ";" ";"2014Q2";4.1M
" ";" ";" ";"2014Q3";7.3
" ";" ";" ";"2014Q4";3.8M
" ";" ";"Povprečni izdatki na turista na prenočitev (EUR)"
" ";" ";" ";"2005Q1";35.95M
" ";" ";" ";"2005Q2";38.68
" ";" ";" ";"2005Q3";33.39
" ";" ";" ";"2005Q4";42.41
" ";" ";" ";"2006Q1";61.39M
" ";" ";" ";"2006Q2";40.06M
" ";" ";" ";"2006Q3";38.44
" ";" ";" ";"2006Q4";51.66
" ";" ";" ";"2007Q1";69.49M
" ";" ";" ";"2007Q2";57.34
" ";" ";" ";"2007Q3";40.57
" ";" ";" ";"2007Q4";73.90
" ";" ";" ";"2008Q1";57.21
" ";" ";" ";"2008Q2";52.07M
" ";" ";" ";"2008Q3";42.54
" ";" ";" ";"2008Q4";75.01
" ";" ";" ";"2009Q1";85.73M
" ";" ";" ";"2009Q2";68.05
" ";" ";" ";"2009Q3";54.28
" ";" ";" ";"2009Q4";92.98
" ";" ";" ";"2010Q1";56.97
" ";" ";" ";"2010Q2";54.25
" ";" ";" ";"2010Q3";35.08
" ";" ";" ";"2010Q4";85.07
" ";" ";" ";"2011Q1";48.86M
" ";" ";" ";"2011Q2";55.36
" ";" ";" ";"2011Q3";47.96
" ";" ";" ";"2011Q4";77.61
" ";" ";" ";"2012Q1";N
" ";" ";" ";"2012Q2";48.11M
" ";" ";" ";"2012Q3";48.92
" ";" ";" ";"2012Q4";63.12
" ";" ";" ";"2013Q1";42.72M
" ";" ";" ";"2013Q2";50.94M
" ";" ";" ";"2013Q3";42.39
" ";" ";" ";"2013Q4";60.77M
" ";" ";" ";"2014Q1";72.69M
" ";" ";" ";"2014Q2";58.81M
" ";" ";" ";"2014Q3";40.02
" ";" ";" ";"2014Q4";66.16M
" ";"25-44"
" ";" ";"Povprečno število prenočitev"
" ";" ";" ";"2005Q1";4.2
" ";" ";" ";"2005Q2";3.5
" ";" ";" ";"2005Q3";7.1
" ";" ";" ";"2005Q4";3.8
" ";" ";" ";"2006Q1";4.3
" ";" ";" ";"2006Q2";3.2
" ";" ";" ";"2006Q3";7.8
" ";" ";" ";"2006Q4";4.1
" ";" ";" ";"2007Q1";3.8
" ";" ";" ";"2007Q2";4.2
" ";" ";" ";"2007Q3";8.2
" ";" ";" ";"2007Q4";4.1
" ";" ";" ";"2008Q1";3.7
" ";" ";" ";"2008Q2";4.2
" ";" ";" ";"2008Q3";8.0
" ";" ";" ";"2008Q4";4.3
" ";" ";" ";"2009Q1";6.3
" ";" ";" ";"2009Q2";4.3
" ";" ";" ";"2009Q3";6.9
" ";" ";" ";"2009Q4";4.4
" ";" ";" ";"2010Q1";5.1
" ";" ";" ";"2010Q2";3.4
" ";" ";" ";"2010Q3";6.5
" ";" ";" ";"2010Q4";4.1
" ";" ";" ";"2011Q1";4.6
" ";" ";" ";"2011Q2";4.1
" ";" ";" ";"2011Q3";6.9
" ";" ";" ";"2011Q4";3.4
" ";" ";" ";"2012Q1";6.9M
" ";" ";" ";"2012Q2";3.7
" ";" ";" ";"2012Q3";7.2
" ";" ";" ";"2012Q4";4.6
" ";" ";" ";"2013Q1";4.6M
" ";" ";" ";"2013Q2";4.1
" ";" ";" ";"2013Q3";6.7
" ";" ";" ";"2013Q4";4.3
" ";" ";" ";"2014Q1";3.9M
" ";" ";" ";"2014Q2";4.0
" ";" ";" ";"2014Q3";5.7
" ";" ";" ";"2014Q4";3.8
" ";" ";"Povprečni izdatki na turista na prenočitev (EUR)"
" ";" ";" ";"2005Q1";64.47
" ";" ";" ";"2005Q2";47.72
" ";" ";" ";"2005Q3";33.08
